,gender,degs_code,degc_code,levl_code,college,code,conc_code_1,grad_date,term_code_grad,major,intern_this,job01,job_ft_pt,job_hired,job_interest,job_relatemajor,plan_service,plan_same,plan_military,cc_use,cc_first,cc_use_service,cc_intern,cc_many,find,GradDate,job,job_company,job_title,job_industry,job_salary,grad,grad_degree,degree_other,study_field,schoolname,group,noschool,nojob,group01,group02,group10,noplangrad,gpa,hs_gpa,state,natn,new_total,new_math,new_verbal
22,M,UA,BS,UM,SY,BUS,BIMA,5/31/19,201901,Business & Management,No,Yes,Full-time (30+ hours/week),Employed in some other work category,Strongly related,Slightly related,No,,No,Yes,My first year on campus,"Individual Appointment,Walk-in Hours,Workshop / Panel,YU CareerLink",Yes,4,Other,May-19,Yes,Custom Outfitters,associate product analyst,Retail,Declined to Answer,No,, , , ,2,1, , , , ,1,3.8622848989999996,91.12,NY, ,1205,600,605
23,M,UA,BS,UM,SY,BUS,BFIN,5/31/19,201901,Business & Management,,No,,,,,No,,No,No,, ,Yes,1,,May-19,No, , , , ,Yes,JD, ,Law,Columbia,3, ,1, , , , ,3.889447212,92.57,NY, ,1490,750,740
24,M,UA,BS,UM,SY,ACC, ,1/31/19,201809,Accounting,No,Yes,Full-time (30+ hours/week),,Strongly related,Strongly related,No,,No,Yes,My first year on campus,"Individual Appointment,Walk-in Hours,YU CareerLink,On-Campus Recruiting,Career Fair,Employer Site Visits",Yes,4,Alumni Contact (referred by family or community member),Jan-19,Yes,EY,Assurance Staff,Accounting,"$60,000 - $69,999",No,, , , ,2,1, , , , ,1,3.392055273,82.19,NY, ,1060,560,500
25,M,UA,BS,UM,SY,BUS,BMAN,1/31/19,201809,Business & Management, , , , , , , ,, , , , , , , ,Jan-19,Yes,Centers Health Care,Financial Coordinator,Finance,Declined to Answer,No,, , , ,2,1, , , , ,1,3.5973596569999997,90.1,NJ, ,1310,600,710
26,M,UA,BS,UM,SY,ACC, ,5/31/19,201901,Accounting, , , , , , , ,, , , , , , , , ,Yes,KPMG US,Financial Services Audit Associate,Finance,Declined to Answer,No, , , , ,2,1, , , , ,1,3.8412697319999998,86,PA, ,1190,550,640
27,M,UA,BA,UM,YC,PSY, ,9/28/18,201806,Psychology,No, ,Full-time (30+ hours/week),Employed in some other work category,Moderately related,Moderately related,No,,No,Yes,My fourth year on campus,"Individual Appointment,Walk-in Hours",Yes,one,Other, , , , , , ,Yes,Masters, ,Clinical Psychology,Yeshiva - Ferkauf,3, ,1, , , , ,3.971698046,96.28,NJ, ,1510,760,750
28,F,UA,BS,UW,SY,BUS,BMKT,5/31/19,201901,Business & Management,,No,,,,,No,,No,Yes,My first year on campus,"Individual Appointment,Walk-in Hours,Workshop / Panel,YU CareerLink,Career Center Website,On-Campus Recruiting,Career Fair",Yes,2,,May-19,Yes,Adam America Real Estate,marketing associate,Marketing,Declined to Answer,Yes,Master's, ,Digital Media,Katz,1, , , , , , ,3.6153845789999997,85,NY, ,1220,630,590
29,F,UA,BA,UW,ST,SHA,SHHS,5/31/19,201901,Shaped Major,,No,,,,,No,,No,No,, ,No, ,,May-19,No, , , , ,Yes,Master's, ,social work,wurzweiler,3, ,1, , , , ,3.522807121,88,NY, ,1150,560,590
30,F,UA,BA,UW,ST,BIO,BIOG,5/31/19,201901,Biology,,No,,,,,No,,No,Yes,My second year on campus,"Individual Appointment,Walk-in Hours",Yes,4,,May-19,No, , , , ,Yes,Master's, ,Physical assistant,CUNY York,3, ,1, , , , ,3.9805824760000004,100,NY, ,1520,800,720
31,F,UA,BA,UW,ST,ENG,ENGJ,1/31/19,201809,English,No,Yes,Full-time (30+ hours/week),-,Strongly related,Strongly related,No,,No,Yes,My second year on campus,"Individual Appointment,Walk-in Hours,YU CareerLink",Yes,4,Job or Social Media website,Jan-19,Yes,Green Park Content,Editorial Assistant,Journalism,Declined to Answer,No,, , , ,2,1, , , , ,1,2.670175552,80,IL, ,980,390,590
32,F,UA,BA,UW,ST,COM, ,5/31/19,201901,Computer Science,No,Yes,Full-time (30+ hours/week),Employed in post-grad internship/fellowship,Strongly related,Strongly related,No,,No,Yes,My second year on campus,"Individual Appointment,YU CareerLink,Career Fair,Employer Site Visits",Yes,1,"Alumni Contact (made through Career Center event, program, or referral)",May-19,Yes,Google,Software Engineering Resident,Information Systems,"$80,000 and over",No,, , , ,2,1, , , , ,1,3.9444444180000002,100,NY, ,1510,740,770
33,F,UA,BA,UW,ST,JST,JSTG,5/31/19,201901,Jewish Studies,,No,,,,,No,,No,Yes,My first year on campus,Individual Appointment,Yes,4,,May-19,No, , , , ,Yes,Master's, ,Occupational Therapy,Columbia,3, ,1, , , , ,3.796296358,92,NY, ,1035,520,515
34,F,UA,BA,UW,ST,PSY,PSYG,5/31/19,201901,Psychology,,No,,,,,No,,No,Yes,My first year on campus,"Individual Appointment,Walk-in Hours,Career Fair",Yes,3,,May-19,No, , , , ,Yes,PhD, ,Psychology,LIU,3, ,1, , , , ,3.8404254910000004,92,NY, ,1100,540,560
35,F,UA,BA,UW,ST,BIO,BION,5/31/19,201901,Biology,,No,,,,,No,,No,No,, ,No, ,,May-19,No, , , , ,Yes,Other,DPT,Physical Therapy,Touro Manhattan,3, ,1, , , , ,3.981981993,100,NY, ,1490,790,700
36,F,UA,BA,UW,ST,BIO,BIOG,5/31/19,201901,Biology,,No,,,,,No,,No,No,, ,Yes,1,,May-19,No, , , , ,Yes,Master's, ,Physician Assistant,Hofstra,3, ,1, , , , ,3.988888979,93,NY, ,1320,640,680
37,M,UA,BS,UM,SY,ACC, ,1/31/19,201809,Accounting, , , , , , , , , , ,, , , , , ,Yes,HAN Capital,Director of Acquisitions,Finance,Declined to Answer,No, , , , ,2,1, , , , ,1,3.0726072789999996,90,IL, ,975,460,515
38,M,UA,BA,UM,YC,ENG, ,9/28/18,201806,English, , , , , , , , , , ,, , , , , ,Yes,NY School of Career and Applied Studies,writing counsultant,Consulting,Declined to Answer,planning,PhD, ,Academic Publishing, ,2,1, , , , , ,3.97796154,99.7,NJ, ,1470,640,800
39,M,UA,BA,UM,YC,BIO, ,9/28/18,201806,Biology,,No,,,,,Yes,No,Yes,No,, ,No, ,,Sep-18,No, , , , ,Yes,MD, ,Medicine,Technion American Medical School,3, ,1, , , , ,3.6058201789999997,92,CA, ,1535,780,755
40,M,UA,BA,UM,YC,BIO, ,5/31/19,201901,Biology,,No,,,,,No,,No,No,, ,Yes,4,,May-19,No, , , , ,Yes,DDS, ,Dentistry,Rutgers school of Dental Medicine,3, ,1, , , , ,3.642276525,95.62,NY, ,1470,790,680
41,M,UA,BS,UM,SY,BUS,BFIN,5/31/19,201901,Business & Management, , , , , , , ,, , , , , , , ,May-19,Yes,Activate Venture Partners,venture capital analyst intern,Finance,Declined to Answer,No,, , , ,2,1, , , , ,1,3.689542532,90.42,NY, ,1290,620,670
42,M,UA,BS,UM,SY,BUS,BFIN,5/31/19,201901,Business & Management,No,Yes,Full-time (30+ hours/week),Employed in temp/contract assignment,Strongly related,Strongly related,No,,No,Yes,My first year on campus,"Individual Appointment,Career Fair",Yes,2,Job or Social Media website,May-19,Yes,FT Partners,Investment banking analyst,Finance,"$80,000 and over",No,, , , ,2,1, , , , ,1,3.867347002,86.34,NY, ,1330,720,610
43,M,UA,BS,UM,SY,ACC, ,9/28/18,201806,Accounting,Yes,Yes,Full-time (30+ hours/week),,Strongly related,Strongly related,,,,Yes,My second year on campus,"Individual Appointment,Walk-in Hours,On-Campus Recruiting,YU InfoLink",Yes,5,Career Center On-Campus Recruiting (non-alumni),Sep-18,Yes,EY,tax associate,Accounting,"$70,000 - $79,999",Yes,Master's, ,Tax,Baruch,1, , , , , , ,3.932318211,89.88,NY, ,1310,630,680
44,F,UA,BS,UW,SY,BUS,BMKT,5/31/19,201901,Business & Management, , , , , , , ,, , , , , , , , ,Yes,Michael Kors Collection,Assistant Buyer,Fashion,Declined to Answer,No, , , , ,2,1, , , , ,1,3.4032258989999997,92, , ,1130,540,590
45,F,UA,BA,UW,ST,BIO,BIOG,5/31/19,201901,Biology,No,Yes,Part-time (<30 hours/week),Employed in some other work category,Slightly related,Slightly related,No,,No,No,, ,No, ,"Alumni Contact (made through Career Center event, program, or referral)",May-19,Yes,Womens League,DSP,Non-Profit,"$30,000 - $39,999",No,, , , ,2,1, , , , ,1,3.336734772,97,MD, ,1210,520,690
46,M,UA,BA,UM,YC,BIO, ,9/28/18,201806,Biology,,No,,,,,No,,No,Yes,My third year on campus,"Individual Appointment,Walk-in Hours,Workshop / Panel",No, ,,Sep-18,No, , , , ,Yes,MD, ,Doctor,New York Medical College,3, ,1, , , , ,3.8350169660000004,93.36,NJ, ,1460,780,680
47,M,UA,BA,UM,YC,PHI, ,9/28/18,201806,Philosophy,Yes,Yes,Full-time (30+ hours/week),Employed in some other work category,Strongly related,Moderately related,No,,No,Yes,My second year on campus,Individual Appointment,Yes,4,Internship or P/T job turned into F/T,Sep-18,Yes,Applecart,Analyst,Politics,"$60,000 - $69,999",No,, , , ,2,1, , , , ,1,3.80062294,84.33,MA, ,1220,550,670
48,M,UA,BA,UM,YC,JST,JHI,1/31/19,201809,Jewish Studies,,No,,,,,No,,No,Not sure / Don't remember,, ,No, ,,Jan-19,No, , , , ,Yes,Semicha, ,Rabbinics,Yu,3, ,1, , , , ,3.5823755260000003,88, , ,980,390,590
49,M,UA,BS,UM,SY,ACC, ,9/28/18,201806,Accounting,No,Yes,Full-time (30+ hours/week),,Strongly related,Strongly related,No,,No,Yes,My second year on campus,Individual Appointment,Yes,3,Job or Social Media website,Sep-18,Yes,JCC of Greater Boston,Marketing Manager/Director,Marketing,Declined to Answer,No,, , , ,2,1, , , , ,1,3.021680117,86.41,QC,CANADA,1270,620,650
50,M,UA,BS,UM,SY,BUS,BFIN,9/28/18,201806,Business & Management,,Yes,Full-time (30+ hours/week),,,,,,,,, ,, ,,Sep-18,Yes,Blackstone,Analyst,Finance,Declined to Answer,No,, , , ,2,1, , , , ,1,3.31649828,81.56,NJ, ,1200,550,650
51,F,UA,BA,UW,ST,SHA,SHAA,5/31/19,201901,Shaped Major,No,Yes,Full-time (30+ hours/week),Employed in some other work category,Strongly related,Not related,No,,Yes,No,, ,Yes,1,Internship or P/T job turned into F/T,May-19,Yes,Associate in cardiovascular disease,Administrative Assistant,Medical,"$30,000 - $39,999",No,, , , ,2,1, , , , ,1,2.91262126,87.5,FL, ,1110,510,600
52,F,UA,BA,UW,ST,BIO,BIOG,9/28/18,201806,Biology, , , , , , , ,, , , , , , , ,Sep-18,No, , , , ,Yes,MD, ,Healthcare, ,3, ,1, , , , ,3.695833206,90,CA, ,1200,570,630
53,M,UA,BS,UM,SY,BUS,BMKT,9/28/18,201806,Business & Management, , , , , , , ,, , , , , , , ,Sep-18,Yes,Swell Investing LLC,Investor Relations - Customer Success & Operations Lead,Finance,Declined to Answer,No,, , , ,2,1, , , , ,1,2.518737555,80,CA, ,820,370,450
54,F,UA,BA,UW,ST,BIO,BIOG,9/28/18,201806,Biology, , , , , , , , , , , , , , , ,Sep-18,Yes,Yeshiva University,Graduate Assistant / Head Weekend Staff Coordinator,Higher Education,Declined to Answer,Yes,Master's, ,Biotechnical Management and Entrepreneurship,Katz School,1, , , , , , ,3.175595284,98,FL, ,980,420,560
55,M,UA,BA,UM,YC,HIS, ,1/31/19,201809,History,Yes,Yes,Part-time (<30 hours/week),Employed in some other work category,Strongly related,Strongly related,No,,No,Yes,My first year on campus,Individual Appointment,Yes,4,Other,Jan-19,Yes,Oracle,Software Engineer,Information Systems,"$80,000 and over",Yes,Semicha, , ,RIETS,1, , , , , , ,3.793893099,95,NJ, ,1450,780,670
56,M,UA,BA,UM,YC,ECO, ,9/28/18,201806,Economics, , , , , , , , , , , , , , , , , , , , , ,Yes,MS, ,Business Analytics,Indiana University,3, ,1, , , , ,2.676282167,85.49,PA, ,1440,740,700
57,M,UA,BA,UM,YC,BIO, ,9/28/18,201806,Biology,,No,,,,,No,,No,No,, ,No, ,, , , , , , ,Yes,MD, ,Medicine,Albert Einstein,3, ,1, , , , ,3.857970953,95.36,NJ, ,1500,780,720
58,M,UA,BA,UM,YC,BIO, ,9/28/18,201806,Biology,,No,,,,,No,,No,Yes,My fourth year on campus,Individual Appointment,Yes,2,,Sep-18,No, , , , ,Yes,DDS, ,dentistry,Columbia,3, ,1, , , , ,3.422442198,86,OH, ,1270,650,620
59,M,UA,BA,UM,YC,BIO, ,5/31/19,201901,Biology,Yes,Yes,Full-time (30+ hours/week),Employed in post-grad internship/fellowship,Strongly related,Strongly related,Yes,No,No,No,, ,Yes,3,Internship or P/T job turned into F/T,May-19,Yes,Columbia University,Research Assistant,Research,"$40,000 - $49,999",No,, , , ,2,1, , , , ,1,3.705459833,99.59,NY, ,1490,780,710
60,M,UA,BS,UM,SY,BUS,BMAN,1/31/19,201809,Business & Management,Yes, ,Part-time (<30 hours/week),Employed in some other work category,Slightly related,Not related,No,,No,No,, ,Yes,2,Alumni Contact (referred by family or community member),Jan-19,Yes,Makor Disability Services,Direct Support Professional,Social Service,"$20,000 - $29,999",No, , , , ,2,1, , , , ,1,2.925233603,90,MD, ,1410,740,670
61,M,UA,BS,UM,SY,BUS,BIMA,9/28/18,201806,Business & Management,,No,,,,,No,,No,Yes,My first year on campus,"Walk-in Hours,Financial Edge Course",Yes,3,,Sep-18,No, , , , ,Yes,JD, ,Law,NYU,3, ,1, , , , ,3.9200000760000004,92.58,NY, ,1400,670,730
62,M,UA,BA,UM,YC,PRE, ,5/31/19,201901,Pre-Engineering,Yes,Yes,Full-time (30+ hours/week),,Strongly related,Moderately related,No,,No,No,, ,Yes,1,Other, , , , , , , , , , , ,4,1,1,1, ,1,1,3.989583254,95.39,NJ, ,1550,800,750
63,M,UA,BA,UM,YC,PHY, ,5/31/19,201901,Physics, , , , , , , ,, , , , , , , ,MJ Joseph Rubin,Yes,Deloitte Consulting,Strategy & Analytics Consultant,Consulting,Declined to Answer,No, , , , ,2,1, , , , ,1,3.9489796160000004,97.5,IL, ,1540,800,740
64,M,UA,BA,UM,YC,BIO, ,9/28/18,201806,Biology,,No,,,,,No,,No,Yes,My second year on campus,Individual Appointment,Yes,1,,May-19,Not Seeking, , , , ,No,, , , ,5,1,1,1, ,1,1,3.950191498,102.94,NJ, ,1440,730,710
65,M,UA,BS,UM,SY,BUS,BFIN,5/31/19,201901,Business & Management,, ,,,,, ,, , , , , , ,,May-19,Yes,Arch Insurance,Business Analyst Intern,Finance,Declined to Answer,Yes,Semicha, , ,RIETS,1, , , , , , ,3.9657142160000003,96.26,NY, ,1490,780,710
66,M,UA,BA,UM,YC,ENG, ,9/28/18,201806,English,, ,,,,,No,,No,Yes,My third year on campus,Individual Appointment,Yes,2,,Sep-18,No, , , , ,Yes,Semicha, ,Jewish Studies,Yeshiva University,3, ,1, , , , ,3.6304347519999998,92.35,NY, ,1440,780,660
67,F,UA,BS,UW,SY,BUS,BMKT,5/31/19,201901,Business & Management, , , , , , , ,, , , , , , , ,May-19,Yes,SecurityScorecard,Business development associate,Sales,"$50,000 - $59,999",No,, , , ,2,1, , , , ,1,3.0934579369999997,86,MD, ,1030,500,530
68,M,UA,BS,UM,SY,BUS,BFIN,1/31/19,201809,Business & Management,No,Yes,Full-time (30+ hours/week),,Moderately related,Moderately related,,,,Yes,My first year on campus,"Individual Appointment,Walk-in Hours,Workshop / Panel,YU CareerLink,Career Fair",Yes,4,Other,Jan-19,Yes,Dialyze Direct,Strategy Associate,Health care services,"$50,000 - $59,999",No,, , , ,2,1, , , , ,1,3.6837208269999997,86,CA, ,1540,780,760
69,F,UA,BA,UW,ST,POL, ,5/31/19,201901,Political Science,,No,,,,,No,,No,Yes,My first year on campus,Individual Appointment,Yes,5,,May-19,No, , , , ,Yes,JD, ,Law,I would like to keep that confidential.,3, ,1, , , , ,3.8661417960000004,90,NY, ,1130,500,630
70,M,UA,BA,UM,YC,COM, ,1/31/19,201809,Computer Science,Yes, ,Full-time (30+ hours/week),Employed as entrepreneur,Strongly related,Strongly related,No,,No,Yes,My third year on campus,"Individual Appointment,Walk-in Hours,Career Fair",Yes,2,Internship or P/T job turned into F/T,Jan-19,Yes,Express Scripts,Software Developer,Information Systems,"$60,000 - $69,999",No, , , , ,2,1, , , , ,1,3.3895130160000004,92.87,NY, ,1290,650,640
71,M,UA,BS,UM,SY,ACC, ,5/31/19,201901,Accounting,,No,,,,,No,,No,No,, ,No, ,,May-19,No, , , , ,Yes,Semicha, ,Semicha,Riets,3, ,1, , , , ,3.7460317610000002,93.48,NY, ,1300,660,640
72,M,UA,BS,UM,SY,ACC, ,1/31/19,201809,Accounting, , , , , , , , , , , , , , , ,Jan-19,Yes,Did not want to share,Property Manager,Real Estate,Declined to Answer,No,, , , ,2,1, , , , ,1,3.196666718,86.69,NJ, ,1090,590,500
73,F,UA,BA,UW,ST,MAT, ,9/28/18,201806,Mathematics,No,Yes,Full-time (30+ hours/week),,Strongly related,Strongly related,No,,No,Yes,My first year on campus,"Individual Appointment,Workshop / Panel",Yes,3,Other,Sep-18,No, , , , ,Yes,PhD, ,Math,Cornell (starting September 2019),3, ,1, , , , ,3.9512195589999997,97.06,NJ, ,1460,790,670
74,M,UA,BA,UM,YC,JST,JHI,1/31/19,201809,Jewish Studies,,No,,,,,No,,No,Not sure / Don't remember,, ,Yes,2,,Jan-19,No, , , , ,Yes,Master's, ,Marketing,Katz School,3, ,1, , , , ,2.8350877760000004,89.9,NJ, ,1260,580,680
75,M,UA,BS,UM,SY,BUS,BFIN,1/31/19,201809,Business & Management,No, ,Full-time (30+ hours/week),Employed in some other work category,Strongly related,Strongly related,No,,No,No,, ,Yes,2,Alumni Contact (referred by family or community member),May-19,Yes,Centric Captial Ventures,Private Equity Analyst,Finance,"$70,000 - $79,999",No,, , , ,2,1, , , , ,1,3.804964542,90.17,NY, ,1380,710,670
76,M,UA,BS,UM,SY,BUS,BFIN,5/31/19,201901,Business & Management,, ,,,,,No,,No,Yes,My first year on campus,"Individual Appointment,Walk-in Hours,YU CareerLink,Career Center Website,On-Campus Recruiting,Career Fair,Financial Edge Course",Yes,2 my summer after freshman year 1 my summer after sophomore 1 my junior year and 1 summer after junior year,,May-19,No, , , , ,Yes,Semicha, ,Rabbinical,REITS,3, ,1, , , , ,3.851239681,92,NY, ,1320,610,710
77,M,UA,BA,UM,YC,BIO, ,1/31/19,201809,Biology,No,Yes,Full-time (30+ hours/week),Employed in post-grad internship/fellowship,Strongly related,Strongly related,No,,No,Yes,My first year on campus,"Individual Appointment,Walk-in Hours,Career Center Website",Yes,3,Networking: YU Staff/Faculty,Jan-19,Yes,albert einstein college of medicine,research coordinator,Medical Research,"$40,000 - $49,999",No,, , , ,2,1, , , , ,1,3.621993065,89.31,NJ, ,1250,560,690
78,M,UA,BA,UM,YC,BIO, ,9/28/18,201806,Biology,,No,,,,,No,,No,No,, ,No, ,,Sep-18,No, , , , ,Yes,PhD, ,Biomedical Studies,Einstein,3, ,1, , , , ,3.755319118,92.12,NJ, ,1450,780,670
79,M,UA,BA,UM,YC,HIS, ,9/28/18,201806,History,No,Yes,Full-time (30+ hours/week),Employed in some other work category,Strongly related,Moderately related,No,,No,Yes,My third year on campus,YU CareerLink,No, ,Job or Social Media website,Sep-18,Yes,Arnold & Porter,Legal Resource Assistant,Law,"$40,000 - $49,999",Yes,J.D., ,Law,TBD,1, , , , , , ,4.0,91.03,NJ, ,1450,780,670
80,F,UA,BA,UW,ST,BIO,BIOG,9/28/18,201806,Biology,No,Yes,Full-time (30+ hours/week),,Strongly related,Strongly related,,,,Yes,My fourth year on campus,Individual Appointment,Yes,3,Networking: YU Staff/Faculty,Sep-18,Yes,Mount Sinai Hospital--Icahn School of Medicine,Clinical Research Coordinator,Healthcare,"$30,000 - $39,999",No,, , , ,2,1, , , , ,1,3.669753075,97,FL, ,1210,570,640
81,M,UA,BA,UM,YC,BIO, ,1/31/19,201809,Biology,,No,,,,,No,,No,Yes,My fourth year on campus,"Individual Appointment,Career Center Website",No, ,,Jan-19,No, , , , ,Yes,Semicha, ,Semicha,REITS,3, ,1, , , , ,3.838488102,96.75,NY, ,1390,740,650
82,M,UA,BS,UM,SY,ACC, ,5/31/19,201901,Accounting, , ,,,,, ,, , , , , , , ,May-19,Yes,Deloitte,Advisory (Did nto wish to share specific title),Consulting,Declined to Answer,No,, , , ,2,1, , , , ,1,3.588784933,87,NY, ,1340,660,680
